customerID,tenure,MonthlyCharges,TotalCharges,Contract,PaymentMethod,churn_flag
7590-VHVEG,1,29.85,29.85,Month-to-month,"Electronic check",0
5575-GNVDE,34,56.95,1889.50,"One year","Mailed check",0
3668-QPYBK,2,53.85,108.15,Month-to-month,"Mailed check",1
7795-CFOCW,45,42.3,1840.75,"One year","Bank transfer (automatic)",0
9237-HQITU,2,70.7,151.65,Month-to-month,"Electronic check",1
9305-CDSKC,8,99.65,820.50,Month-to-month,"Electronic check",1
1452-KIOVK,22,89.1,1949.40,Month-to-month,"Credit card (automatic)",0
6713-OKOMC,10,29.75,301.90,Month-to-month,"Mailed check",0
7892-POOKP,28,104.8,3046.05,Month-to-month,"Electronic check",1
6388-TABGU,62,56.15,3487.95,"One year","Bank transfer (automatic)",0
9763-GRSKD,13,49.95,587.45,Month-to-month,"Mailed check",0
7469-LKBCI,16,18.95,326.80,"Two year","Credit card (automatic)",0
8091-TTVAX,58,100.35,5681.10,"One year","Credit card (automatic)",0
0280-XJGEX,49,103.7,5036.30,Month-to-month,"Bank transfer (automatic)",1
5129-JLPIS,25,105.5,2686.05,Month-to-month,"Electronic check",0
3655-SNQYZ,69,113.25,7895.15,"Two year","Credit card (automatic)",0
8191-XWSZG,52,20.65,1022.95,"One year","Mailed check",0
9959-WOFKT,71,106.7,7382.25,"Two year","Bank transfer (automatic)",0
4190-MFLUW,10,55.2,528.35,Month-to-month,"Credit card (automatic)",1
4183-MYFRB,21,90.05,1862.90,Month-to-month,"Electronic check",0
8779-QRDMV,1,39.65,39.65,Month-to-month,"Electronic check",1
1680-VDCWW,12,19.8,202.25,"One year","Bank transfer (automatic)",0
1066-JKSGK,1,20.15,20.15,Month-to-month,"Mailed check",1
3638-WEABW,58,59.9,3505.10,"Two year","Credit card (automatic)",0
6322-HRPFA,49,59.6,2970.30,Month-to-month,"Credit card (automatic)",0
6865-JZNKO,30,55.3,1530.60,Month-to-month,"Bank transfer (automatic)",0
